LexToken(VOID,'void',3,0)
LexToken(SINGLE_QUOTE,"'",16,347)
LexToken(RPAREN,')',16,348)
LexToken(SEMICOLON,';',16,349)
LexToken(RBRACE,'}',17,355)
LexToken(RBRACE,'}',18,359)
LexToken(RBRACE,'}',19,361)
LexToken(BOOL,'bool',21,364)
LexToken(ID,'esPalindromo',21,369)
LexToken(LPAREN,'(',21,381)
LexToken(STRING,'String',21,382)
LexToken(QUESTION,'?',21,388)
LexToken(ID,'input',21,390)
LexToken(RPAREN,')',21,395)
LexToken(LBRACE,'{',21,397)
LexToken(IF,'if',22,401)
LexToken(LPAREN,'(',22,404)
LexToken(ID,'input',22,405)
LexToken(EQUALS,'==',22,411)
LexToken(ID,'null',22,414)
LexToken(RPAREN,')',22,418)
LexToken(THROW,'throw',22,420)
LexToken(ID,'ArgumentError',22,426)
LexToken(LPAREN,'(',22,439)
LexToken(STRING,'El texto no puede ser null',22,440)
LexToken(RPAREN,')',22,468)
LexToken(SEMICOLON,';',22,469)
LexToken(IF,'if',23,473)
LexToken(LPAREN,'(',23,476)
LexToken(ID,'input',23,477)
LexToken(DOT,'.',23,482)
LexToken(ID,'trim',23,483)
LexToken(LPAREN,'(',23,487)
LexToken(RPAREN,')',23,488)
LexToken(DOT,'.',23,489)
LexToken(ID,'isEmpty',23,490)
LexToken(RPAREN,')',23,497)
LexToken(THROW,'throw',23,499)
LexToken(ID,'FormatException',23,505)
LexToken(LPAREN,'(',23,520)
LexToken(STRING,'Cadena vacía no válida',23,521)
LexToken(RPAREN,')',23,545)
LexToken(SEMICOLON,';',23,546)
LexToken(FINAL,'final',24,550)
LexToken(STRING,'String',24,556)
LexToken(ID,'procesado',24,563)
LexToken(ASSIGN,'=',24,573)
LexToken(ID,'input',24,575)
LexToken(DOT,'.',24,580)
LexToken(ID,'toLowerCase',24,581)
LexToken(LPAREN,'(',24,592)
LexToken(RPAREN,')',24,593)
LexToken(DOT,'.',24,594)
LexToken(ID,'replaceAll',24,595)
LexToken(LPAREN,'(',24,605)
LexToken(ID,'RegExp',25,611)
LexToken(LPAREN,'(',25,617)
LexToken(ID,'r',25,618)
LexToken(SINGLE_QUOTE,"'",25,619)
LexToken(LBRACKET,'[',25,620)
LexToken(CIRCUMFLEX,'^',25,621)
LexToken(ID,'a',25,622)
LexToken(MINUS,'-',25,623)
LexToken(ID,'z0',25,624)
LexToken(MINUS,'-',25,626)
LexToken(INT,9,25,627)
LexToken(RBRACKET,']',25,628)
LexToken(SINGLE_QUOTE,"'",25,629)
LexToken(RPAREN,')',25,630)
LexToken(COMMA,',',25,631)
LexToken(SINGLE_QUOTE,"'",26,637)
LexToken(SINGLE_QUOTE,"'",26,638)
LexToken(COMMA,',',26,639)
LexToken(RPAREN,')',27,643)
LexToken(SEMICOLON,';',27,644)
LexToken(INT,'int',28,648)
LexToken(ID,'izquierda',28,652)
LexToken(ASSIGN,'=',28,662)
LexToken(INT,0,28,664)
LexToken(SEMICOLON,';',28,665)
LexToken(INT,'int',29,669)
LexToken(ID,'derecha',29,673)
LexToken(ASSIGN,'=',29,681)
LexToken(ID,'procesado',29,683)
LexToken(DOT,'.',29,692)
LexToken(LENGTH,'length',29,693)
LexToken(MINUS,'-',29,700)
LexToken(INT,1,29,702)
LexToken(SEMICOLON,';',29,703)
LexToken(WHILE,'while',30,707)
LexToken(LPAREN,'(',30,713)
LexToken(ID,'izquierda',30,714)
LexToken(LESS,'<',30,724)
LexToken(ID,'derecha',30,726)
LexToken(RPAREN,')',30,733)
LexToken(LBRACE,'{',30,735)
LexToken(IF,'if',31,741)
LexToken(LPAREN,'(',31,744)
LexToken(ID,'procesado',31,745)
LexToken(LBRACKET,'[',31,754)
LexToken(ID,'izquierda',31,755)
LexToken(RBRACKET,']',31,764)
LexToken(NOT_EQUALS,'!=',31,766)
LexToken(ID,'procesado',31,769)
LexToken(LBRACKET,'[',31,778)
LexToken(ID,'derecha',31,779)
LexToken(RBRACKET,']',31,786)
LexToken(RPAREN,')',31,787)
LexToken(LBRACE,'{',31,789)
LexToken(RETURN,'return',32,797)
LexToken(FALSE,'false',32,804)
LexToken(SEMICOLON,';',32,809)
LexToken(RBRACE,'}',33,815)
LexToken(ID,'izquierda',34,821)
LexToken(INCREMENT,'++',34,830)
LexToken(SEMICOLON,';',34,832)
LexToken(ID,'derecha',35,838)
LexToken(DECREMENT,'--',35,845)
LexToken(SEMICOLON,';',35,847)
LexToken(RBRACE,'}',36,851)
LexToken(RETURN,'return',37,855)
LexToken(TRUE,'true',37,862)
LexToken(SEMICOLON,';',37,866)
LexToken(RBRACE,'}',38,868)
